iter	RMSE
0	0.4006658189
1	0.3987120046
2	0.3967574354
3	0.3948977244
4	0.3930573289
5	0.3911939207
6	0.3894440291
7	0.3877263059
8	0.3859375876
9	0.3842842459
10	0.3826537105
11	0.3809871664
12	0.3793937516
13	0.3778508908
14	0.3762429535
15	0.3746217244
16	0.3730852942
17	0.3715331971
18	0.3700145222
19	0.3685610451
20	0.3671027907
21	0.3656578397
22	0.3643211451
23	0.3628663331
24	0.3614778794
25	0.3601045891
26	0.3587957106
27	0.357505684
28	0.3562344411
29	0.354995269
30	0.3537284842
31	0.3525093451
32	0.3512572335
33	0.3501080826
34	0.3489252617
35	0.3477538213
36	0.3466070715
37	0.3454711979
38	0.3443045286
39	0.343225838
40	0.3421514924
41	0.3410891683
42	0.3400288191
43	0.3389987888
44	0.3378997459
45	0.3368329503
46	0.3358279246
47	0.334808335
48	0.3337806408
49	0.3328233363
50	0.3318765366
51	0.330944752
52	0.3300208122
53	0.3291305801
54	0.328253343
55	0.3273852669
56	0.3265480614
57	0.3256408879
58	0.3247870926
59	0.3239780265
60	0.3232160117
61	0.3224500837
62	0.3216069246
63	0.3208757658
64	0.3201143128
65	0.319344854
66	0.3185773143
67	0.3178385959
68	0.3171348406
69	0.3164272136
70	0.3157509146
71	0.3150064073
72	0.314332611
73	0.3136180469
74	0.3129077756
75	0.3122082531
76	0.3115781954
77	0.3109553094
78	0.3103323097
79	0.3097065164
80	0.3090890775
81	0.3085165496
82	0.3079403494
83	0.3073038145
84	0.3066915298
85	0.3061535459
86	0.3055875948
87	0.3049952439
88	0.304438315
89	0.3039224556
90	0.3033982624
91	0.3029070594
92	0.3023828223
93	0.301911351
94	0.3013925361
95	0.3008796086
96	0.3003872502
97	0.2998923274
98	0.2994054774
99	0.2989560226
100	0.2984412739
101	0.2979335324
102	0.2974895818
103	0.2970314234
104	0.2965571719
105	0.2961040585
106	0.2956928664
107	0.2952369689
108	0.2947703329
109	0.2943519989
110	0.2939574891
111	0.2935473769
112	0.2931549418
113	0.2927597429
114	0.2923767917
115	0.291909641
116	0.2915472276
117	0.291169709
118	0.2907816567
119	0.2903830757
120	0.2900030517
121	0.2896655645
122	0.2892518931
123	0.2888950509
124	0.2885561578
125	0.2882118225
126	0.2878423594
127	0.2874790078
128	0.287195773
129	0.2868887164
130	0.2865294703
131	0.286193013
132	0.285863228
133	0.2855169877
134	0.2851721072
135	0.2848724379
136	0.2845513118
137	0.2842260279
138	0.2839449861
139	0.2836013632
140	0.2832845558
141	0.2829742569
142	0.2827348229
143	0.2824525381
144	0.282167601
145	0.2819031032
