iter	Passed	Remaining
0	3	1709
1	6	1567
2	9	1498
3	12	1509
4	15	1498
5	18	1486
6	20	1454
7	23	1426
8	25	1408
9	28	1391
10	31	1398
11	34	1410
12	37	1392
13	39	1382
14	42	1374
15	45	1366
16	48	1367
17	50	1361
18	53	1356
19	56	1350
20	59	1346
21	62	1348
22	64	1344
23	67	1338
24	70	1332
25	72	1326
26	75	1320
27	78	1316
28	80	1312
29	83	1306
30	86	1302
31	88	1299
32	91	1291
33	94	1288
34	98	1304
35	100	1301
36	103	1298
37	106	1294
38	109	1292
39	112	1293
40	115	1291
41	118	1288
42	120	1283
43	123	1279
44	126	1276
45	128	1272
46	131	1266
47	133	1261
48	136	1258
49	139	1253
50	142	1250
51	144	1247
52	147	1244
53	150	1239
54	152	1234
55	155	1230
56	157	1227
57	160	1222
58	163	1221
59	166	1220
60	169	1218
61	172	1215
62	174	1213
63	182	1241
64	185	1243
65	190	1253
66	193	1251
67	196	1248
68	199	1246
69	202	1246
70	206	1249
71	209	1244
72	211	1239
73	215	1238
74	217	1233
75	221	1235
76	224	1232
77	226	1227
78	229	1222
79	231	1217
80	234	1213
81	237	1209
82	240	1205
83	242	1202
84	245	1199
85	248	1197
86	252	1196
87	255	1194
88	258	1194
89	261	1190
90	264	1186
91	266	1183
92	269	1179
93	272	1176
94	275	1172
95	277	1169
96	280	1165
97	283	1162
98	286	1159
99	288	1155
100	291	1151
101	293	1146
102	296	1142
103	299	1138
104	301	1135
105	304	1131
106	307	1128
107	309	1124
108	312	1120
109	315	1117
110	317	1113
111	320	1109
112	323	1106
113	325	1103
114	328	1099
115	330	1095
116	333	1092
117	336	1089
118	339	1085
119	342	1083
120	345	1081
121	348	1079
122	351	1077
123	354	1074
124	358	1074
125	361	1074
126	365	1074
127	368	1071
128	372	1072
129	376	1072
130	381	1073
131	384	1071
132	387	1069
133	391	1068
134	395	1069
135	398	1066
136	401	1063
137	404	1060
138	407	1058
139	411	1057
140	414	1055
141	417	1052
142	420	1049
143	423	1046
144	426	1042
145	428	1039
146	431	1035
147	433	1031
148	436	1027
149	439	1024
150	441	1021
151	445	1018
152	448	1016
153	450	1012
154	453	1009
155	456	1006
156	458	1002
157	461	998
158	463	995
159	466	991
160	469	988
161	471	984
162	474	980
163	477	977
164	479	974
165	482	970
166	485	968
167	488	966
168	491	963
169	494	960
170	497	957
171	500	953
172	502	950
173	505	946
174	507	943
175	510	939
176	513	936
177	516	933
178	519	931
179	522	928
180	525	925
181	528	922
182	531	919
183	534	918
184	538	917
185	541	914
186	544	911
187	547	908
188	551	907
189	554	904
190	557	901
191	559	898
192	562	895
193	565	892
194	569	890
195	572	888
196	576	885
197	578	882
198	582	881
199	585	877
200	587	874
201	590	870
202	592	867
203	595	863
204	598	861
205	600	857
206	603	854
207	606	850
208	608	847
209	611	843
210	613	840
211	616	837
212	619	834
213	622	831
214	624	828
215	627	825
216	630	821
217	632	818
218	635	815
219	637	811
220	640	808
221	643	805
222	645	801
223	648	798
224	651	795
225	653	792
226	656	789
227	658	786
228	661	782
229	664	779
230	666	776
231	669	773
232	672	770
233	674	766
234	677	763
235	679	760
236	682	757
237	685	754
238	687	751
239	690	747
240	693	744
241	696	742
242	699	739
243	702	736
244	705	734
245	709	732
246	712	729
247	715	726
248	718	724
249	721	721
250	725	719
251	728	716
252	731	714
253	734	711
254	737	708
255	740	706
256	743	703
257	746	699
258	748	696
259	751	693
260	754	690
261	757	687
262	759	684
263	762	681
264	765	678
265	768	675
266	771	672
267	773	669
268	776	666
269	779	663
270	782	661
271	785	658
272	788	655
273	790	652
274	793	649
275	796	646
276	798	642
277	801	639
278	804	637
279	806	634
280	809	630
281	812	627
282	814	624
283	817	621
284	820	618
285	822	615
286	825	612
287	828	609
288	831	607
289	834	604
290	837	601
291	840	598
292	843	596
293	846	592
294	849	590
295	851	587
296	854	584
297	857	581
298	859	578
299	862	575
300	865	572
301	868	569
302	871	566
303	874	563
304	876	560
305	879	557
306	882	554
307	885	552
308	888	549
309	891	546
310	895	544
311	898	541
312	901	538
313	904	535
314	907	533
315	910	530
316	913	527
317	916	524
318	918	521
319	921	518
320	924	515
321	926	512
322	929	509
323	933	506
324	936	504
325	939	501
326	943	499
327	946	496
328	948	493
329	951	490
330	954	487
331	956	484
332	959	481
333	962	478
334	965	475
335	968	472
336	970	469
337	973	466
338	976	463
339	979	460
340	981	457
341	984	454
342	987	451
343	990	449
344	993	446
345	995	443
346	998	440
347	1001	437
348	1004	434
349	1007	431
350	1009	428
351	1012	425
352	1014	422
353	1017	419
354	1020	416
355	1023	413
356	1025	410
357	1028	407
358	1030	404
359	1033	401
360	1036	399
361	1039	396
362	1042	393
363	1044	390
364	1048	387
365	1050	384
366	1053	381
367	1057	379
368	1060	376
369	1063	373
370	1067	371
371	1070	368
372	1074	365
373	1077	362
374	1079	359
375	1082	357
376	1086	354
377	1089	351
378	1091	348
379	1094	345
380	1097	342
381	1100	340
382	1103	337
383	1106	334
384	1109	331
385	1111	328
386	1114	325
387	1117	322
388	1119	319
389	1122	316
390	1125	313
391	1128	310
392	1132	308
393	1134	305
394	1137	302
395	1139	299
396	1142	296
397	1145	293
398	1147	290
399	1150	287
400	1153	284
401	1156	281
402	1158	278
403	1161	275
404	1163	272
405	1166	270
406	1169	267
407	1171	264
408	1174	261
409	1177	258
410	1179	255
411	1182	252
412	1184	249
413	1187	246
414	1190	243
415	1193	240
416	1196	238
417	1199	235
418	1202	232
419	1205	229
420	1207	226
421	1210	223
422	1213	220
423	1215	217
424	1218	215
425	1221	212
426	1224	209
427	1227	206
428	1230	203
429	1233	200
430	1236	197
431	1239	195
432	1243	192
433	1246	189
434	1249	186
435	1252	183
