iter	Passed	Remaining
0	371	371456
1	558	278696
2	760	252808
3	958	238770
4	1153	229518
5	1352	224009
6	1570	222762
7	1792	222225
8	1982	218329
9	2175	215385
10	2366	212783
11	2558	210613
12	2755	209243
13	2950	207770
14	3139	206132
15	3339	205352
16	3526	203896
17	3717	202808
18	3917	202255
19	4108	201316
20	4302	200561
21	4492	199700
22	4679	198772
23	4880	198489
24	5068	197655
25	5262	197138
26	5446	196261
27	5637	195702
28	5828	195148
29	6019	194640
30	6217	194343
31	6412	193965
32	6668	195410
33	6881	195507
34	7073	195022
35	7275	194810
36	7470	194440
37	7666	194078
38	7859	193665
39	8063	193533
40	8274	193536
41	8475	193327
42	8693	193470
43	8912	193652
44	9103	193188
45	9295	192775
46	9504	192712
47	9710	192600
48	9909	192326
49	10103	191965
50	10292	191523
51	10487	191197
52	10676	190763
53	10869	190418
54	11057	189993
55	11251	189660
56	11436	189203
57	11627	188848
58	11821	188538
59	12016	188250
60	12202	187833
61	12398	187583
62	12592	187288
63	12822	187533
64	13032	187471
65	13222	187117
66	13445	187228
67	13677	187467
68	13877	187244
69	14073	186980
70	14288	186960
71	14554	187589
72	14818	188172
73	15051	188347
74	15258	188189
75	15550	189057
76	15776	189109
77	15974	188820
78	16164	188448
79	16351	188043
80	16558	187869
81	16814	188243
82	17003	187858
83	17196	187524
84	17385	187149
85	17576	186798
86	17763	186416
87	17954	186072
88	18143	185712
89	18334	185384
90	18522	185016
91	18714	184706
92	18905	184379
93	19094	184036
94	19285	183720
95	19480	183436
96	19669	183107
97	19861	182810
98	20086	182810
99	20338	183048
100	20536	182792
101	20731	182517
102	20919	182180
103	21109	181866
104	21303	181586
105	21504	181364
106	21693	181046
107	21884	180748
108	22080	180490
109	22278	180254
110	22491	180132
111	22683	179849
112	22884	179630
113	23072	179320
114	23264	179031
115	23455	178747
116	23646	178458
117	23837	178172
118	24028	177889
119	24215	177582
120	24407	177310
121	24601	177049
122	24793	176780
123	24983	176497
124	25174	176222
125	25372	175998
126	25569	175764
127	25758	175482
128	25946	175191
129	26136	174913
130	26327	174646
131	26519	174388
132	26709	174115
133	26902	173864
134	27106	173680
135	27301	173441
136	27497	173213
137	27690	172967
138	27881	172707
139	28079	172489
140	28367	172820
141	28621	172940
142	28907	173244
143	29161	173347
144	29419	173474
145	29677	173594
146	29940	173734
147	30170	173685
148	30421	173751
149	30679	173847
150	30922	173859
151	31190	174008
152	31408	173875
153	31620	173707
154	31825	173498
155	32044	173371
156	32261	173223
157	32487	173127
158	32689	172904
159	32900	172726
160	33158	172796
161	33395	172747
162	33620	172637
163	33905	172837
164	34130	172722
165	34342	172539
166	34562	172398
167	34761	172153
168	34989	172048
169	35192	171820
170	35419	171713
171	35612	171436
172	35801	171141
173	36045	171110
174	36296	171113
175	36524	170999
176	36726	170766
177	36970	170730
178	37164	170458
179	37353	170165
180	37546	169890
181	37741	169629
182	37929	169334
183	38129	169095
184	38317	168805
185	38506	168519
186	38695	168232
187	38885	167953
188	39075	167674
189	39319	167624
190	39588	167680
191	39845	167682
192	40047	167452
193	40266	167290
194	40489	167148
195	40686	166897
196	40912	166764
197	41128	166589
198	41347	166430
199	41562	166251
200	41783	166094
201	42077	166225
202	42385	166411
203	42655	166439
204	42919	166444
205	43162	166365
206	43381	166190
207	43619	166091
208	43823	165860
209	44020	165602
210	44215	165336
211	44410	165073
212	44613	164840
213	44805	164565
214	45006	164326
215	45208	164091
216	45408	163846
217	45623	163659
218	45822	163412
219	46022	163171
220	46315	163256
221	46578	163233
222	46815	163119
223	47060	163032
224	47299	162919
225	47572	162924
226	47833	162885
227	48076	162783
228	48327	162707
229	48585	162656
230	48897	162781
231	49162	162745
232	49394	162599
233	49617	162422
234	49851	162282
235	50083	162133
236	50297	161927
237	50541	161818
238	50760	161625
239	50949	161341
240	51140	161061
241	51340	160809
242	51533	160539
243	51724	160261
244	51921	160002
245	52111	159724
246	52303	159451
247	52500	159196
248	52694	158928
249	52889	158667
250	53080	158394
251	53275	158135
252	53463	157855
253	53658	157596
254	53851	157330
255	54040	157055
256	54232	156788
257	54421	156514
258	54615	156255
259	54825	156040
260	55015	155773
261	55211	155520
262	55400	155248
263	55597	154999
264	55799	154765
265	55999	154523
266	56196	154275
267	56389	154017
268	56584	153767
269	56781	153520
270	56974	153262
271	57166	153004
272	57362	152756
273	57555	152502
274	57767	152296
275	57964	152052
276	58163	151813
277	58377	151613
278	58573	151366
279	58767	151117
280	58985	150926
281	59202	150736
282	59423	150552
283	59642	150366
284	59880	150226
285	60086	150005
286	60284	149766
287	60487	149538
288	60683	149294
289	60891	149080
290	61087	148834
291	61285	148596
292	61525	148458
293	61726	148228
294	61924	147988
295	62133	147775
296	62331	147539
297	62532	147308
298	62741	147096
299	62932	146842
300	63126	146595
301	63322	146354
302	63517	146112
303	63706	145854
304	63901	145611
305	64093	145362
306	64289	145122
307	64478	144867
308	64673	144625
309	64862	144370
310	65063	144144
311	65264	143917
